BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
2340.0,37.0,1.18,,2.0,9,1980.0,99.0,1.0,2.0,,1480.0,0.9,,0
1740.0,45.0,0.82,,2.0,18,2121.0,109.33,1.0,2.0,,1740.0,0.9,,0
68040.0,90.0,5.4,,6.5,41,12600.0,100.0,1.0,6.0,,68040.0,6.02,,0
1666.0,41.0,0.67,,2.0,2,2500.0,100.0,1.0,2.0,,1666.0,0.9,,0
1304.0,34.0,1.22,1.0,2.4,15,1071.0,66.67,1.0,2.0,,1304.0,,,0
12755.0,88.0,3.41,,4.8,18,3742.0,100.0,1.0,5.0,,12755.0,3.44,,0
6260.0,62.5,2.64,,2.0,241,2375.0,95.0,1.0,4.0,,6260.0,1.25,,0
1888.0,30.0,0.89,,4.8,42,2127.0,85.17,1.0,2.0,,1888.0,3.44,,0
3150.0,50.0,1.22,,2.0,28,2578.0,100.0,1.0,3.0,,3150.0,1.25,,0
2859.0,24.0,1.15,,2.0,46,2488.0,50.0,1.0,3.0,,2859.0,0.9,,1
1424.0,33.0,0.75,,2.0,79,1898.0,115.06,1.0,3.0,,1424.0,1.25,,1
,,,,1.0,290,132000.0,330.0,1.0,,,,0.6,,0
,,,2.0,4.8,1,,523.67,1.0,,,,,,1
9900.0,90.0,0.9,,7.52,58,11000.0,100.0,1.0,1.0,,,7.52,9900.0,0
4301.0,68.0,1.0,,4.8,158,4320.0,108.0,2.0,2.75,,4301.0,3.44,,0
308.0,22.0,0.11,,3.0,27,2850.0,114.0,1.0,1.0,,,3.0,,1
1540.0,35.0,0.92,,2.0,24,1667.0,100.0,1.0,2.0,,1120.0,1.25,,0
8330.0,138.0,1.06,,1.0,113,7866.0,138.42,1.0,1.0,,,0.6,6762.0,0
1080.0,35.0,0.57,,2.0,16,1900.0,95.0,1.0,2.0,,1080.0,1.25,,0
1494.0,36.0,0.4,,2.0,1,3772.0,78.33,2.0,2.0,,1494.0,0.9,,0
23100.0,77.0,6.57,,4.8,1,3518.0,39.75,1.0,5.0,,23100.0,3.44,,0
1644.0,30.0,0.66,,4.8,40,2500.0,100.0,2.0,2.0,,1644.0,2.43,,0
1550.0,45.0,0.56,,1.0,53,2750.0,110.0,1.0,2.0,,1550.0,0.6,,0
4095.0,65.0,1.64,,4.8,41,2500.0,100.0,1.0,3.0,,4095.0,3.44,,0
2856.0,40.0,1.9,,4.8,63,1500.0,100.0,1.0,3.0,,2133.0,2.43,,0
2376.0,48.0,0.48,,2.0,66,5000.0,100.0,1.0,2.5,,1584.0,0.9,,0
1968.0,48.0,0.75,,2.0,27,2611.0,100.44,1.0,2.0,,1968.0,1.1,,0
7012.0,68.0,2.8,,4.8,23,2500.0,100.0,1.0,4.0,,7012.0,2.43,,0
1696.0,46.0,1.19,,2.0,51,1430.0,55.0,2.0,2.0,,1696.0,1.25,,0
1992.0,49.0,0.65,,4.8,38,3071.0,111.0,1.0,2.0,,1992.0,3.44,,0
2148.0,35.0,1.34,2.0,4.8,36,1600.0,80.0,1.0,3.0,,2148.0,,,0
1944.0,36.0,0.5,,2.0,45,3858.0,151.17,1.0,3.0,,1944.0,0.9,,1
1680.0,42.0,0.82,,2.0,23,2050.0,100.0,1.0,2.0,,1680.0,1.25,,1
624.0,39.0,0.27,,2.0,166,2306.0,73.0,1.0,1.0,,624.0,0.9,,0
2328.0,52.0,0.82,,2.0,13,2856.0,114.25,2.0,2.0,,2328.0,1.1,,0
12600.0,90.0,2.52,,4.8,7,5000.0,100.0,1.0,3.0,,12600.0,3.44,,0
3231.0,55.0,1.58,,2.0,140,2046.0,127.0,1.0,3.0,,3231.0,1.25,,0
1116.0,35.0,0.65,,2.0,62,1710.0,95.0,1.0,2.0,,1116.0,1.25,,0
1298.0,33.0,0.47,,4.8,111,2780.0,142.58,1.0,2.0,,1298.0,2.43,,0
1378.0,57.0,0.28,,1.0,43,5000.0,100.0,2.0,1.0,,1378.0,0.6,,0
2016.0,32.0,1.32,,2.0,1,1530.0,83.25,1.0,3.0,,1728.0,0.9,,0
1560.0,39.0,0.62,,2.0,20,2500.0,100.0,2.0,2.5,,1560.0,1.1,,0
1589.0,34.0,0.77,,2.0,196,2069.0,116.58,1.0,2.0,,1156.0,0.9,,0
1332.0,37.0,0.55,,2.0,73,2435.0,97.42,1.0,2.0,,1332.0,0.9,,1
