BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
1598.0,47.0,0.67,,2.0,21,2383.0,110.0,2.0,2.0,,1598.0,0.9,,0
68725.0,89.0,4.15,,4.8,18,16564.0,101.17,1.0,5.0,,68725.0,2.43,,0
3388.0,55.0,2.46,,4.8,21,1380.0,75.63,1.0,3.0,,2008.0,2.43,1380.0,0
,,,,3.0,62,2500.0,100.0,,,,,3.0,,0
,,,1.0,2.4,127,150.0,34.0,,,,,,,0
2842.0,45.0,0.78,,4.8,9,3650.0,100.0,2.0,2.75,,2842.0,2.43,,0
954.0,45.0,0.29,,1.0,78,3325.0,100.0,1.0,1.0,,954.0,0.6,,0
3135.0,38.0,0.63,,4.8,32,5000.0,100.0,1.0,2.0,,2280.0,2.43,,0
1600.0,40.0,0.66,,2.0,130,2442.0,100.0,1.0,2.0,,1600.0,0.9,,0
2112.0,38.0,0.84,,2.0,34,2500.0,100.0,2.0,2.0,,1360.0,0.9,,0
22100.0,94.0,2.48,,2.0,34,8900.0,101.58,1.0,2.0,22100.0,,1.25,,0
1890.0,45.0,0.48,,2.0,43,3929.0,157.17,1.0,2.0,,1890.0,0.9,,0
2898.0,55.0,0.87,,2.0,27,3333.0,101.0,1.0,2.0,,2024.0,0.9,,0
2165.0,26.0,0.37,,1.0,416,5850.0,117.08,3.0,1.5,,1203.0,0.6,,0
1052.0,48.0,0.42,,2.0,32,2500.0,100.0,1.0,1.0,,1052.0,2.0,,0
2280.0,40.0,1.2,,6.5,109,1900.0,100.0,1.0,3.0,,2280.0,3.44,,0
22500.0,90.0,4.48,,4.8,1,5018.0,100.0,1.0,5.0,,22500.0,3.44,,0
2128.0,38.0,0.43,,2.0,12,4892.0,97.83,2.0,1.5,,1064.0,1.25,,0
1764.0,46.0,0.71,,2.0,20,2500.0,100.0,1.0,2.0,,1764.0,0.9,,0
2337.0,37.95,0.83,,4.8,141,2805.0,95.0,1.0,2.0,,1558.0,2.43,,0
2125.0,37.5,1.12,,2.0,53,1900.0,95.0,1.0,2.0,,1480.0,1.25,,0
1190.0,35.0,0.48,,2.0,33,2500.0,100.0,2.0,2.0,,1190.0,1.25,,0
3276.0,54.0,1.56,,4.8,8,2100.0,100.0,1.0,3.0,,3276.0,2.43,,0
3390.0,55.0,1.83,,6.5,78,1850.0,100.0,1.0,3.0,880.0,1320.0,6.02,1190.0,0
1200.0,30.0,0.48,,4.8,16,2500.0,100.0,1.0,2.0,,1200.0,3.44,,0
2707.0,51.0,1.33,,2.0,49,2042.0,103.42,1.0,3.0,,2707.0,1.25,,0
1728.0,32.0,0.36,,2.0,30,4753.0,105.42,1.0,2.0,,1080.0,0.9,,0
,,,,4.8,30,2500.0,100.0,,,,,3.44,,0
1720.0,40.0,0.69,,2.0,44,2500.0,100.0,2.0,2.0,,1720.0,1.25,,0
15153.0,64.0,1.77,,4.0,7501,8583.0,114.29,3.0,4.0,,15153.0,4.0,,0
1424.0,40.0,0.6,,1.0,160,2377.0,78.57,1.0,2.0,,1424.0,0.6,,0
1824.0,38.0,1.09,,4.8,24,1667.0,100.0,1.0,2.0,,1216.0,2.43,,0
1584.0,35.0,0.32,,1.0,26,5000.0,100.0,2.0,2.0,,1584.0,0.6,,0
3786.0,54.0,1.85,,4.8,10,2047.0,87.42,1.0,2.0,,2524.0,2.43,,0
3100.0,42.08,1.0,,1.0,64,3100.0,42.08,1.0,1.0,,,0.6,3100.0,0
1254.0,33.0,0.66,,2.0,87,1900.0,100.0,1.0,2.0,,1254.0,1.25,,0
